,ID,Name,Taxonomy,species group,species id,reference_lib,false_pos_prone,Combined,Min,Max,Mean,Median,Std,sample_abund,control_abund,sample_normalized,control_normalized,normalized_corrected,S:N,sample,control,mode
4,Staphylococcus aureus M1060; AQGA01000005.41407.43923,AQGA01000005.41407.43923,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus M1060,Staphylococcus aureus M1060, AQGA01000005.41407.43923,LSU,No,96,0,53,6.0,0.0,16.32584863,53,0,16.340112,0.0,16.340112,inf,BFTMS23071408,BFTMS23071417,LSU_strict
55,Streptococcus pneumoniae; CMII01000035.6080.8641,CMII01000035.6080.8641,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pneumoniae,Streptococcus pneumoniae, CMII01000035.6080.8641,LSU,Yes,1218,0,1132,76.125,1.5,281.7726921,1132,0,751.405752,0.0,751.405752,inf,BFTMS23071411,BFTMS23071417,LSU_strict
49,Aspergillus fumigatus Af293; AAHF01000017.3748.7449,AAHF01000017.3748.7449,Eukaryota; Ascomycota; Eurotiomycetes; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus fumigatus Af293,Aspergillus fumigatus Af293, AAHF01000017.3748.7449,LSU,No,69,0,69,4.3125,0.0,17.25,69,0,32.24301,0.0,32.24301,inf,BFTMS23071414,BFTMS23071417,LSU_strict
