,ID,Name,Taxonomy,species group,species id,reference_lib,false_pos_prone,Combined,Min,Max,Mean,Median,Std,sample_abund,control_abund,sample_normalized,control_normalized,normalized_corrected,S:N,sample,control,mode
7,Aspergillus_fumigatus; SH005555.07FU_KJ123930_reps_singleton,SH005555.07FU_KJ123930_reps_singleton,Fungi; Ascomycota; Eurotiomycetes; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus_fumigatus,Aspergillus_fumigatus, SH005555.07FU_KJ123930_reps_singleton,UNITE,No,7,0,7,0.4375,0.0,1.75,7,0,3.27103,0.0,3.27103,inf,BFTMS23071414,BFTMS23071417,UNITE_loose
10,Aspergillus_fumigatus; SH488525.07FU_KT150269_reps_singleton,SH488525.07FU_KT150269_reps_singleton,Fungi; Ascomycota; Eurotiomycetes; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus_fumigatus,Aspergillus_fumigatus, SH488525.07FU_KT150269_reps_singleton,UNITE,No,4,0,4,0.25,0.0,1.0,4,0,1.86916,0.0,1.86916,inf,BFTMS23071414,BFTMS23071417,UNITE_loose
12,Aspergillus_fumigatus; SH628690.07FU_KU565732_reps_singleton,SH628690.07FU_KU565732_reps_singleton,Fungi; Ascomycota; Eurotiomycetes; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus_fumigatus,Aspergillus_fumigatus, SH628690.07FU_KU565732_reps_singleton,UNITE,No,5,0,4,0.3125,0.0,1.01447852,4,0,1.86916,0.0,1.86916,inf,BFTMS23071414,BFTMS23071417,UNITE_loose
